FirstName,LastName,Department,Username
John,Smith,Sales,jsmith
Jane,Doe,Marketing,jdoe
Alex,Martinez,IT,amartinez
Sarah,Connor,Sales,sconnor
Michael,Jordan,Marketing,mjordan
Emily,Watson,HR,ewatson
David,Beckham,Finance,dbeckham
Jessica,Alba,Sales,jalba
James,Bond,IT,jbond
Emma,Stone,Marketing,estone
Robert,Downey,Finance,rdowney
Amanda,Seyfried,HR,aseyfried
William,Wright,Sales,wwright
Megan,Fox,Marketing,mfox
Chris,Evans,IT,cevans
Ashley,Olson,Finance,aolson
Brian,OConner,Sales,boconner
Taylor,Swift,Marketing,tswift
Daniel,Craig,IT,dcraig
Rachel,McAdams,HR,rmcadams
Matthew,Perry,Finance,mperry
Laura,Croft,Sales,lcroft
Kevin,Hart,Marketing,khart
Stephanie,McMahon,IT,smcmahon
Jason,Bourne,HR,jbourne
Lisa,Simpson,Finance,lsimpson
Tom,Cruise,Sales,tcruise
Natalie,Portman,Marketing,nportman
Justin,Timberlake,IT,jtimberlake
Michelle,Obama,HR,mobama
Ryan,Reynolds,Finance,rreynolds
Scarlett,Johansson,Sales,sjohansson
Chris,Pratt,Marketing,cpratt
Amy,Adams,IT,aadams
George,Clooney,HR,gclooney
Nicole,Kidman,Finance,nkidman
Brad,Pitt,Sales,bpitt
Angelina,Jolie,Marketing,ajolie
Will,Smith,IT,wsmith
Jennifer,Aniston,HR,janiston
Leonardo,DiCaprio,Finance,ldicaprio
Sandra,Bullock,Sales,sbullock
Dwayne,Johnson,Marketing,djohnson
Keanu,Reeves,IT,kreeves
Meryl,Streep,HR,mstreep
Morgan,Freeman,Finance,mfreeman
Cate,Blanchett,Sales,cblanchett
Matt,Damon,Marketing,mdamon
Christian,Bale,IT,cbale
Penelope,Cruz,HR,pcruz
